anzsco_code,occupation,description
254423,Registered Nurse (Operating Room),Provides nursing care to patients following surgery and ensuring operating rooms are clean and sterile before and after surgery. Registration or licensing is required. The specialisation of 'Registered Nurse (Operating Room)' is a subset of the broader occupation of 'Registered Nurse (Perioperative)'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Registered Nurse (Operating Room)' profile should be combined with the broader 'Registered Nurse (Perioperative)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
254423,Registered Nurse (Perioperative),"Provides nursing care to patients before, during and immediately after surgery, assesses patients' condition, plans nursing care for surgical intervention, maintains a safe and comfortable environment, assists Surgeons and Anaesthetists during surgery, and monitors patients' recovery from anaesthetic, prior to return to, or discharge from, ward. Registration or licensing is required."
254424,Registered Nurse (Surgical),Provides nursing care to patients with injuries and illness that require surgical intervention. Registration or licensing is required.
254425,Registered Nurse (Paediatrics),"Provides nursing care to children of all ages, including neonates, across a range of health and community settings with an emphasis on assessing childrenŠ—Ès acute and ongoing needs while taking into account physical, social, cultural and family circumstances. Registration or licensing is required."
254499,Flight Nurse,"Assess health problems and needs, develop and implement nursing care plans, and maintain medical records of patients being transported. Administer nursing care to ill, injured, convalescent, or disabled patients being transported."
254499,Immunisation Nurse,"Administer immunisations and assist with health assessment, immunisation and health promotion programs."
254499,Pathology Nurse,"Collect and label pathology samples for the diagnosis, treatment, and prevention of disease."
254499,Radiology Nurse,"Assess health problems and needs, develop and implement nursing care plans, and maintain medical records for patients in a radiology department or practice."
254499,Red Cross Blood Service Nurse,Draw blood for tests and donations. May explain the procedure to patients and assist in the recovery of patients with adverse reactions.
254499,Registered Nurse (Infection Control),Prevent and identify the spread of infection in a health care environment.
254499,Remote Area Nurse,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records in rural and remote areas. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management."
254499,Aboriginal Health Nurse,"Provides nursing care to individuals, families and culturally diverse community groups focusing on areas of drug and alcohol, mental health and access to service and programs. Registration or licensing is required."
254499,Registered Nurses nec,"This occupation group covers Registered Nurses not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 254499 Registered Nurses nec."
261111,ICT Business Analyst,Identifies and communicates with users to formulate and produce a requirements specification to create system and software solutions.
261112,Systems Analyst,"Evaluates processes and methods used in existing ICT systems, proposes modifications, additional system components or new systems to meet user needs as expressed in specifications and other documentation."
261113,User Experience Designer (ICT),"A User Experience Designer is involved in the end to end development process. This includes user research and consultation, strategy, design, branding, usability, function and testing. User Experience Designers predominantly work with digital tools, such as apps and websites."
261211,Multimedia Specialist,"Creates and manipulates computer animation, audio, video and graphic image files into multimedia programs to produce data and content for CD-ROMs, information kiosks, multimedia presentations, websites, mobile telephone resources, electronic gaming environments, e-commerce and e-security solutions, and entertainment and education products."
261212,Web Developer,"Plans, produces and maintains websites using web programming languages, software applications, technologies and databases together with specifications of user needs, often in conjunction with other ICT Professionals such as Business Analysts, Web Designers and network and usability specialists."
261311,Analyst Programmer,"Analyses user needs, produces requirements documentation and system plans, and encodes, tests, debugs, maintains and documents programs and applications."
261312,Cyber Security Developer,"Develops, implements and tests an organisation's software and develops strategies to avoid potential threats. The specialisation of 'Cyber Security Developer' is a subset of the broader occupation of 'Developer Programmer'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Cyber Security Developer' profile should be combined with the broader 'Developer Programmer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
261312,Database Developer,"Designs, constructs, and implements new databases, as well as modifying existing databases for platform updates and changes in user needs. The specialisation of 'Database Developer' is a subset of the broader occupation of 'Developer Programmer'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Database Developer' profile should be combined with the broader 'Developer Programmer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
261312,Database Programmer (Systems),"Programmes and debugs database management systems software that allows users to access, interact with, and manipulate a database. The specialisation of 'Database Programmer (Systems)' is a subset of the broader occupation of 'Developer Programmer'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Database Programmer (Systems)' profile should be combined with the broader 'Developer Programmer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
261312,Network Programmer,Develops and implements programs that execute across multiple devices that are all connected to each other using a network. The specialisation of 'Network Programmer' is a subset of the broader occupation of 'Developer Programmer'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Network Programmer' profile should be combined with the broader 'Developer Programmer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
261312,Software Developer,"Researches, designs, and develops computer and network software or specialised utility programs. The specialisation of 'Software Developer' is a subset of the broader occupation of 'Developer Programmer'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Software Developer' profile should be combined with the broader 'Developer Programmer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
261312,Developer Programmer,"Interprets specifications, technical designs and flow charts, builds, maintains and modifies the code for software applications, constructs technical specifications, including cyber security, from a business functional model, and tests and writes technical documentation."
261313,Computer Applications Engineer,"Designs, programmes, tests, maintains and repairs computer applications. The specialisation of 'Computer Applications Engineer' is a subset of the broader occupation of 'Software Engineer'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Computer Applications Engineer' profile should be combined with the broader 'Software Engineer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
261313,Software Engineer,"Designs, develops, modifies, documents, tests, implements, installs and supports software applications and systems."
261314,Software Tester,"Specifies, develops and writes test plans and test scripts, produces test cases, carries out regression testing, and uses automated test software applications to test the behaviour, functionality and integrity of computer software, and documents the results of tests in defect reports and related documentation. It excludes testing of technical security controls."
261315,Cyber Security Engineer,"Designs, develops, modifies, documents, tests, implements, installs and supports cybersecurity software applications and systems; ensures they are fully integrated."
261316,Cloud Computing Engineer,"Facilitate and undertake tasks associated with cloud computing, including design, planning, management, maintenance and support. The specialisation of 'Cloud Computing Engineer' is a subset of the broader occupation of 'DevOps Engineer'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Cloud Computing Engineer' profile should be combined with the broader 'DevOps Engineer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
261316,Continuous Integration Engineer,"Facilitate and undertake tasks associated with setting up a development environment for developers, including communication, collaboration, integration and automation. The specialisation of 'Continuous Integration Engineer' is a subset of the broader occupation of 'DevOps Engineer'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Continuous Integration Engineer' profile should be combined with the broader 'DevOps Engineer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
261316,DevOps Engineer,"Facilitate and undertake communication, collaboration, integration and automation to improve efficiency and workflow across different specialist IT teams."
261317,Penetration Tester,"Creates test cases using in-depth technical analysis of risks and typical vulnerabilities and produces test scripts, materials and packs to test new and existing software or services, plans, coordinates and conducts cyber threat emulation activities in support of certification, accreditation, and operational priorities to verify deficiencies in technical security controls."
262111,Database Administrator,"Plans, develops, configures, maintains and supports an organisation's database management system in accordance with user requirements ensuring optimal database integrity, security, backup, reliability and performance."
262113,Systems Administrator,"Plans, develops, installs, troubleshoots, maintains and supports an operating system and associated server hardware, software and databases ensuring optimum system integrity, security, backup and performance."
262114,Cyber Governance Risk and Compliance Specialist,"Lead the governance, risk and compliance for cyber security."
262115,Cyber Security Advice and Assessment Specialist,"Conduct risk and security control assessments, interpret security policy and contribute to the development of standards and guidelines, review information system designs, provide guidance on security strategies to manage identified risks, provide specialist advice, explain systems security and the strengths and weaknesses."
262116,Cyber Security Analyst,"Analyses and assesses vulnerabilities in the infrastructure (software, hardware, networks), investigates available tools and countermeasures to remedy the detected vulnerabilities, and recommends solutions and best practices. Analyses and assesses damage to the data/infrastructure as a result of security incidents, examines available recovery tools and processes, and recommends solutions."
262117,Cyber Security Architect,Designs a security system or major components of a security system and may head a security design team building a new security system.
262118,Cyber Security Operations Coordinator,"Leads the coordination, and response to complex cyber security incidents and hunt investigations, manage tasks across various teams for incident response and hunt operations, advise leadership on current operational collaborations and contribute toward strategic planning, facilitate incident response engagements, assess technical information to develop key messaging."
263111,Computer Network and Systems Engineer,"Plans, develops, deploys, tests and optimises network and system services, taking responsibility for configuration management and overall operational readiness of network systems, especially environments with multiple operating systems and configurations, and provides troubleshooting and fault-finding services for network problems."
263112,Network Administrator,"Installs and maintains hardware and software, documents diagnosis and resolution of faults, manages user passwords, security and inventory documentation, ensures the efficient performance of servers, printers and personal computers, and attends to other operational tasks. May also perform tasks such as help desk support and user training."
263113,Network Analyst,"Researches and analyses network architecture, and recommends policies and strategies for designing, planning and coordinating an organisation's network such as the total system environment and architecture. May also perform operational tasks such as monitoring system performance, software and hardware upgrades, backups, support and network maintenance."
263211,Systems Auditor (ICT),"Systems Auditors (ICT) are involved in the reviewing of control systems to assess their efficiency and reliability. They audit systems to ensure compliance with, and adherence to, accredited internal and external industry quality standards and regulations. Systems Auditors (ICT) provide managers with expert opinions about the reliability of results and operations of computer systems. The specialisation of 'Systems Auditor (ICT)' is a subset of the broader occupation of 'ICT Quality Assurance Engineer'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Systems Auditor (ICT)' profile should be combined with the broader 'ICT Quality Assurance Engineer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
263211,ICT Quality Assurance Engineer,"Creates, maintains and manages technical quality assurance processes and procedures to assess efficiency, validity, value and functional performance of computer systems and environments, and audits systems to ensure compliance with, and adherence to, accredited internal and external industry quality standards and regulations. May supervise the work of ICT quality assurance teams."
263212,ICT Support Engineer,"Develops support procedures and strategies for systems, networks, operating systems and applications development, solves problems and provides technical expertise and direction in support of system infrastructure and process improvements, and diagnoses and resolves complex system problems."
263213,ICT Systems Test Engineer,"Specifies, develops and writes test plans and test scripts, produces test cases, carries out regression testing, and uses automated test software applications to test the behaviour, functionality and integrity of systems, and documents the results of tests in defect reports and related documentation."
263311,Telecommunications Engineer,"Designs and develops telecommunications systems, devices and products."
263312,Telecommunications Network Engineer,"Plans, designs, and monitors complex telecommunications networks and associated broadcasting equipment."
271111,Barrister,"Pleads cases before civil, criminal and industrial courts and other tribunals. Registration or licensing is required."
271299,Family Court Registrar,Preside over interim family court hearings.
271299,Family Law Mediator,Facilitate negotiation and resolve conflicts by mutual consent of parties involved.
271299,Judicial Registrar,Preside over directions hearings and initial court events.
271299,Legal Officer,Consider and prepare legal advice for organisations.
271299,Legal Researcher,Assist legal professionals by conducting research.
271299,Parliamentary Counsel,"Draft and publish laws, including drafting bills for introduction into the Parliament."
271299,Judicial and Other Legal Professionals nec,"This occupation group covers Judicial and Other Legal Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 271299 Judicial and Other Legal Professionals nec."
271311,Solicitor,"Provides legal advice, prepares and drafts legal documents, and conducts negotiations on behalf of clients on matters associated with the law. Registration or licensing is required."
272111,Careers Counsellor,Provides individuals and groups with information about career choices and assists individuals with self-development.
272112,Drug and Alcohol Counsellor,"Provides support and treatment for people with drug and alcohol dependency problems, develops strategies which assist them to set goals and affect and maintain change, and provides community education. May work in a call centre."
272113,Family and Marriage Counsellor,"Assists individuals, couples and families with marriage and relationship difficulties. May work in a call centre."
272114,Rehabilitation Counsellor,"Assists physically, mentally and socially disadvantaged people to reintegrate into work and the community."
272115,Student Counsellor,"Provides information and assistance to students, parents and teachers about a wide range of matters such as students' personal problems, learning difficulties and special requirements."
272199,Gambling Counsellor,"Counsel and advise individuals with gambling disorders. May counsel individuals, families, or groups or engage in prevention programs."
272199,Grief Counsellor,"Counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on grief."
272199,Sexual Assault Counsellor / Sexual Abuse Counsellor,"Counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on issues associated with sexual abuse."
272199,Trauma Counsellor,"Counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on trauma."
272199,Life Coach,"Work with clients to help them achieve their goals by providing guidance and support in various areas, including goal-setting for future plans. Life coaches aid their clients in improving their relationships, careers, and day-to-day lives."
272199,Counsellors nec,"This occupation group covers Counsellors not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 272199 Counsellors nec."
272211,Minister of Religion,"Performs spiritual functions associated with beliefs and practices of a religious faith, and provides motivation, guidance and training in religious life for the people of a congregation or parish, and the wider community. This occupation requires high levels of personal commitment and interest as well as, or in place of, formal qualifications or experience. Registration or licensing may be required."
272311,Clinical Psychologist,"Consults with individuals and groups, assesses psychological disorders and administers programs of treatment. Registration or licensing is required."
272312,Educational Psychologist,"Investigates learning and teaching, and develops psychological techniques to foster the development and skills of individuals and groups in educational settings. Registration or licensing is required."
272313,Organisational Psychologist,"Applies psychological principles and techniques to study occupational behaviour, working conditions and organisational structure, and solve problems of work performance and organisational design. Registration or licensing is required."
272314,Psychotherapist,"Provides diagnosis and treatment of mental and emotional disorders using psychotherapeutic methods such as behavioural therapy, biofeedback, relaxation therapy and other techniques."
272399,Counselling Psychologist,"Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counselling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behaviour modification programs and consult with medical personnel regarding the best treatment for patients."
272399,Sport Psychologist,Apply principles of psychology to human resources and sports problems.
272399,Psychologists nec,"This occupation group covers Psychologists not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 272399 Psychologists nec."
272411,Art Historian,Researches the different types and styles of art and artists throughout history and applies such knowledge to a range of industries. The specialisation of 'Art Historian' is a subset of the broader occupation of 'Historian'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Art Historian' profile should be combined with the broader 'Historian' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
272411,Economic Historian,"Researches changes in economic circumstances over time, and applies knowledge of complex economic, social and political issues to current global economic developments and crises. The specialisation of 'Economic Historian' is a subset of the broader occupation of 'Historian'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Economic Historian' profile should be combined with the broader 'Historian' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
272411,Historian,Researches the history of human activity and prepares accounts of findings.
272412,Interpreter,"Transfers a spoken or signed language into another spoken or signed language, usually within a limited time frame in the presence of the participants requiring the translation."
272413,Translator,"Transfers a source text from one language into another, usually within an extended time frame to allow for corrections and modifications and without the presence of the participants requiring the translation."
272414,Archaeologist,"Studies human activity in the past, primarily through the recovery and analysis of the material culture and environmental data left behind, which includes artifacts, architecture, biofacts and cultural landscapes (the archaeological record)."
272499,Anthropologist,"Study the behaviour of human beings. May study the way of life, language, or physical characteristics of people in various parts of the world."
272499,Criminologist,"Examine the criminal justice systems, analyse reasons for criminal behaviour and suggest ways crime might be reduced. May collect and analyse data related to crime scenes to determine why and how a crime was committed."
272499,Geographer,"Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organisation, as well as researching interdependence between regions at scales ranging from local to global."
272499,Heritage Consultant,Manage construction and restoration projects on heritage sites.
272499,Linguist,"Study the origin, uses and development of languages."
272499,Parole Board Member,"Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations."
272499,Political Scientist,"Study the origin, development, and operation of political systems. May study topics, such as public opinion, political decision-making, and ideology. May analyse the structure and operation of governments, as well as various political entities. May conduct public opinion surveys, analyse election results, or analyse public documents."
272499,Sociologist,"Study human society and social behaviour by examining the groups and social institutions that people form, as well as various social, religious, political, and business organisations. May study the behaviour and interaction of groups, trace their origin and growth, and analyse the influence of group activities on individual members."
272499,Transport Analyst,"Study proposed and existing transportation projects. Gather, compile, and analyse data. Study the use and operation of transportation systems. Develop transportation models or simulations."
272499,Social Professionals nec,"This occupation group covers Social Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 272499 Social Professionals nec."
272511,Social Worker,"Assesses the social needs of individuals, families and groups, assists and empowers people to develop and use the skills and resources needed to resolve social and other problems, and furthers human wellbeing and human rights, social justice and social development. Registration or licensing may be required."
272611,Community Arts Worker,"Identifies issues of local need, concerns and aspirations through community consultation, and designs and implements strategies to facilitate and encourage community arts projects and happenings, and promote the value of community cultural development."
272612,Recreation Officer / Recreation Coordinator,"Plans, organises and coordinates recreation facilities and programs through organisations such as local governments, schools, church bodies and youth organisations."
272613,Welfare Worker,"Assists individuals, families and groups with social, emotional or financial difficulties to improve quality of life, by educating and supporting them and working towards change in their social environment."
311112,Agricultural and Agritech Technician,"Performs tests and experiments, and provides technical support to assist Agricultural Research Scientists, Agronomists and Aquaculture or Fisheries Scientists in areas such as research, production, servicing and marketing and advises on, installs and services advanced agriculture technology and equipment such as precision agricultural solutions, virtual fencing, and automatic milking machines."
311113,Animal Husbandry Technician,"Assists Livestock Farmers and Farm Managers in breeding, raising and managing livestock by undertaking technical animal husbandry tasks such as pregnancy testing, artificial insemination, lactation management and providing nutrition assessment and advice."
311114,Aquaculture or Fisheries Technician,"Assists Aquaculture Farmers and Fisheries Scientists in raising and managing aquatic stock by undertaking onshore and offshore technical fish husbandry tasks sampling water and analysing data from ponds, pens and tanks and identifying common diseases and pests, and performs tests and experiments and provides technical support in areas such as research, production, servicing and marketing."
311115,Irrigation Designer,"Designs and plans irrigation systems according to licencing, climatic and environmental considerations, water source availability, crop type, and soil characteristics."
311211,Anaesthetic Technician,"Prepares and maintains anaesthetic equipment for operating theatres or clinics, and assists Anaesthetists during anaesthetic procedures."
311212,Cardiac Technician,"Conducts tests on patients to record heart activity using specialised equipment, recording devices and laboratory instruments in support of Cardiologists and other Medical Practitioners engaged in diagnosing, monitoring and treating heart disease."
311213,Medical Laboratory Technician,Performs routine medical laboratory tests and operates diagnostic laboratory equipment under the supervision of Medical Laboratory Scientists and Pathologists. Registration or licensing may be required.
311214,Operating Theatre Technician,"Prepares and maintains an operating theatre and its equipment, assists the surgical team during operations and provides support to patients in the recovery room."
311215,Pharmacy Technician,"Fills and labels patients' prescriptions under the supervision of a Pharmacist. May record details of, place orders for, take stock of, and store medications and medical supplies and deliver them to patients."
311216,Pathology Collector / Phlebotomist,"Extracts, collects, labels and preserves blood and other specimens from patients for laboratory analysis."
311217,Respiratory Technician,Performs routine lung function tests; uses and maintains diagnostic equipment under the supervision of Respiratory Scientists. Monitors patients on ventilation or those undergoing sleep studies.
311299,Audiometrist,Assess and test hearing of persons with hearing and related disorders.
311299,Dialysis Technician,Administer dialysis procedures and monitor patients.
311299,Electroencephalographic Technician,"Observe, measure and record the electrical activity and brain wave patterns by using an encephalograph."
311299,Mortuary Technician,Perform various tasks to arrange and assist individual funeral services and pathology services.
311299,Ophthalmic Technician,"Assist ophthalmologists by performing ophthalmic clinical functions. May administer eye exams, administer eye medications, and instruct the patient in care and use of corrective lenses."
311299,Orthotic and Prosthetic Technician,"Design, measure, fit, and adapt orthopaedic braces, appliances or prostheses, such as limbs or facial parts for patients."
311299,Perfusionist,Operate a heart-lung machine and manage the physiological and metabolic demands of the patient during cardiac surgery.
311299,Renal Technician,Treat and provide care for patients with benign and malignant medical and surgical disorders of the genitourinary system and the renal glands.
311299,Medical Technicians nec,"This occupation group covers Medical Technicians not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 311299 Medical Technicians nec."
311411,Chemistry Technician,"Performs laboratory tests on organic and inorganic chemicals, analyses test data and carries out technical functions in support of Chemists or Chemical Engineers in a wide variety of areas such as fuels, agricultural products, food, pharmaceuticals, paints, metals, plastics, textiles, detergents, paper, fertilisers and cosmetics."
311412,Earth Science Technician,"Collects and tests earth and water samples, records observations and analyses data in support of Geologists or Geophysicists."
311413,Life Science Technician,Identifies and collects living organisms and conducts field and laboratory studies in support of Life Scientists or Environmental Scientists.
311499,Calibration Technician,"Inspect, test, maintain and repair of instrument and manufacturing equipment."
311499,Drug and Alcohol Tester,"Set up, operate, and maintain testing instruments and equipment to collect data and samples, make observations, and calculate and record results."
311499,Fibre Technologist,Maintain digital and fibre optic systems and install broadband internet and phone networks.
311499,Fingerprint Expert,"Collect, classify and identify fingerprints."
311499,Textile Technical Officer,"Work with a variety of fabrics, both man-made and natural fibres, as well as leather, fur, metals and plastics to ensure that they are fit for purpose and carry out quality control tests."
311499,Science Technicians nec,"This occupation group covers Science Technicians not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 311499 Science Technicians nec."
312111,Architectural Draftsperson,"Completes Architects' concepts by preparing drawings and plans, and liaising with builders and contractors."
312112,Building Associate,"Supervises construction sites, and organises and coordinates the material and human resources required. Registration or licensing may be required."
312113,Building Inspector,Inspects buildings to ensure compliance with laws and regulations and advises on building requirements. Registration or licensing may be required.
312114,Construction Estimator,Prepares and delivers estimates and cost plans for construction projects up to the tender settlement stage.
312116,Surveying or Spatial Science Technician,"Collects, records and evaluates spatial information and prepares databases, maps, charts and plans in support of Surveyors, Cartographers or Other Spatial Scientists. Registration or licensing may be required."
312199,Energy Assessor,"Conduct energy assessments of buildings, building systems, or process systems."
312199,Roof Truss Detailer,Construct the structural framework of timbers to provide support for roofs.
312199,Structural Steel Detailer,"Fabricate, position, align, and fit parts of structural metal products."
312199,"Architectural, Building and Surveying Technicians nec","This occupation group covers Architectural, Building and Surveying Technicians not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 312199 Architectural, Building and Surveying Technicians nec."
312211,Civil Engineering Draftsperson,Prepares detailed drawings and plans for civil engineering work in support of Civil Engineering Professionals and Engineering Technologists. Registration or licensing may be required.
312212,Geotechnical Laboratory Technician,Conduct laboratory tests to evaluate the engineering properties of rock and soil. The specialisation of 'Geotechnical Laboratory Technician' is a subset of the broader occupation of 'Civil Engineering Technician'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Geotechnical Laboratory Technician' profile should be combined with the broader 'Civil Engineering Technician' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
312212,Civil Engineering Technician,"Conducts tests of construction materials, prepares sketches and tabulations, and assists in estimating costs in support of Civil Engineering Professionals and Engineering Technologists. Registration or licensing may be required."
312311,Electrical Engineering Draftsperson,Prepares detailed drawings and plans of electrical installations and circuitry in support of Electrical Engineers and Engineering Technologists. Registration or licensing may be required.
312312,Electrical Engineering Technician,"Conducts tests of electrical systems, prepares charts and tabulations, and assists in estimating costs in support of Electrical Engineers and Engineering Technologists. Registration or licensing may be required."
312411,Electronic Engineering Draftsperson,Prepares detailed drawings and plans of electronic engineering work in support of Electronics Engineers and Engineering Technologists. Registration or licensing may be required.
312412,Electronic Engineering Technician,"Conducts tests of electronic systems, collects and analyses data, and assembles circuitry in support of Electronics Engineers and Engineering Technologists. Registration or licensing may be required."
312511,Mechanical Engineering Draftsperson,Prepares detailed drawings and plans of mechanical engineering work in support of Mechanical Engineers and Engineering Technologists.
312512,Mechanical Engineering Technician,"Conducts tests of mechanical systems, collects and analyses data, and assembles and installs mechanical assemblies in support of Mechanical Engineers and Engineering Technologists."
312611,Safety Inspector,"Inspects machines, equipment, working conditions and public places to ensure compliance with government and industry standards and regulations, in relation to occupational health and safety. Registration or licensing may be required."
312999,Automation Technician,"Operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment."
312999,Biomedical Technician,"Apply knowledge of engineering, biology, chemistry to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems."
312999,Building and Engineering Technicians nec,"This occupation group covers Building and Engineering Technicians not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 312999 Building and Engineering Technicians nec."
313111,Hardware Technician,"Supports and maintains computer systems and peripherals by installing, configuring, testing, troubleshooting, and repairing hardware."
313112,ICT Customer Support Officer,"Provides support, education and guidance in the deployment and maintenance of computer infrastructure and the diagnosis and resolution of technical problems and issues. May work in a call centre."
313113,Web Administrator,"Designs, builds and maintains websites, and provides web technology solutions and services."
313199,Applications Packager,Consolidate the components that constitute a program so that the end user can easily install and start the application.
313199,Computer Systems Technician,"Monitor the operations of an organisation's computer network, hardware, software, and operating systems."
313199,ICT Support Technicians nec,"This occupation group covers ICT Support Technicians not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 313199 ICT Support Technicians nec."
313211,Radiocommunications Technician,"Installs, maintains, repairs and diagnoses malfunctions of microwave, telemetry, multiplexing, satellite and other radio and electromagnetic wave communication systems."
313212,Telecommunications Field Engineer,"Plans, designs, commissions and monitors complex telecommunications networks and associated equipment, provides technical advice and information, and identifies complex problems and initiates action to resolve them."
313213,Telecommunications Network Planner,Plans the development of customer access telecommunications network infrastructure.
313214,Telecommunications Technical Officer or Technologist,"Carries out specialised design and support functions in telecommunications engineering including optimisation and performance monitoring of telecommunications networks, diagnosis and repair of faults, and the selection and installation of equipment."
321111,Automotive Electrician,"Installs, maintains and repairs electrical wiring and electronic components in motor vehicles. Registration or licensing may be required."
321211,Motor Mechanic (General),"Maintains, tests and repairs petrol engines and the mechanical parts of lightweight motor vehicles such as transmissions, suspension, steering and brakes. Registration or licensing may be required."
321212,Diesel Motor Mechanic,"Maintains, tests and repairs diesel motors and the mechanical parts of trucks, buses and other heavy vehicles such as transmissions, suspension, steering and brakes. Registration or licensing may be required."
321213,Motorcycle Mechanic,"Maintains, tests and repairs the mechanical parts of motorcycles. Registration or licensing may be required."
321214,Small Engine Mechanic,"Maintains, tests and repairs engines of chainsaws, lawn mowers, garden tractors and other equipment with small engines. Registration or licensing may be required."
322211,Sheetmetal Worker,"Marks out, shapes, forms and joins sheetmetal and other materials to make products and components."
322311,Metal Fabricator,Marks off and fabricates structural steel and other metal stock to make or repair metal products and structures such as boilers and pressure vessels. Sheetmetal Fabricators are excluded from this occupation.
322313,Welder (First Class),Fabricates and repairs metal products using various welding techniques.
323111,Aircraft Maintenance Engineer (Avionics),"Inspects, tests, aligns, repairs and installs aircraft electrical and avionic system components. Registration or licensing may be required."
323112,Aircraft Maintenance Engineer (Mechanical),"Inspects, tests, repairs and installs aircraft hydromechanical and flight system components and aircraft engines, subassemblies and components. Registration or licensing may be required."
323113,Aircraft Maintenance Engineer (Structures),"Inspects, dismantles and reassembles aircraft structures, and repairs and replaces components of aircraft frames. Works with both metal and carbon fibre composite materials. Registration or licensing may be required."
323211,Fitter (General),Fits and assembles metal parts and subassemblies to fabricate production machines and other equipment. Diesel Mechanics and Plant Mechanics repairing light automotive vehicles and mobile plant are excluded from this occupation.
323214,Metal Machinist (First Class),"Sets up and operates machine tools to shape and form metal stock and castings to fine tolerances, using detailed drawings and specifications."
323299,Printing Engineer,"Install, configure, maintainÎ¾and ensure the proper function of standalone printers, scanners or Network Printers."
323299,Metal Fitters and Machinists nec,"This occupation group covers Metal Fitters and Machinists not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 323299 Metal Fitters and Machinists nec."
323311,Engraver,"Inscribes letters, figures and designs on metal, glass, wood, rubber, plastic and other surfaces."
323312,Gunsmith,"Modifies, services and repairs rifles, revolvers and other firearms. Registration or licensing is required."
323313,Locksmith,Installs and maintains locks and related security devices and systems. Registration or licensing is required.
323314,Precision Instrument Maker and Repairer,"Assembles, calibrates, installs and overhauls mechanical precision instruments and equipment."
323315,Saw Sharpener,"Sharpens blades for circular, band and other saws. The specialisation of 'Saw Sharpener' is a subset of the broader occupation of 'Saw Doctor'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Saw Sharpener' profile should be combined with the broader 'Saw Doctor' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
